model,dataset,source,condition,hit_field,n,n_clean,p_clean,p_truncated,rate_all,rate_clean
olmo3-7b-instruct,agieval,my dog,flip,uptake,98,48,0.4897959183673469,0.3469387755102041,0.20408163265306123,0.125
olmo3-7b-instruct,agieval,my dog,neg_other,answer_changed,98,48,0.4897959183673469,0.29591836734693877,0.5306122448979592,0.2708333333333333
olmo3-7b-instruct,agieval,my dog,neg_own,answer_changed,98,50,0.5102040816326531,0.25510204081632654,0.5102040816326531,0.32
olmo3-7b-instruct,agieval,my dog,placebo,answer_changed,98,53,0.5408163265306123,0.2653061224489796,0.3979591836734694,0.16981132075471697
olmo3-7b-instruct,agieval,my horoscope,flip,uptake,98,46,0.46938775510204084,0.3469387755102041,0.32653061224489793,0.17391304347826086
olmo3-7b-instruct,agieval,my horoscope,neg_other,answer_changed,98,48,0.4897959183673469,0.3163265306122449,0.6020408163265306,0.3333333333333333
olmo3-7b-instruct,agieval,my horoscope,neg_own,answer_changed,98,50,0.5102040816326531,0.3163265306122449,0.40816326530612246,0.2
olmo3-7b-instruct,agieval,my horoscope,placebo,answer_changed,98,54,0.5510204081632653,0.25510204081632654,0.2857142857142857,0.05555555555555555
olmo3-7b-instruct,agieval,my mom,flip,uptake,98,52,0.5306122448979592,0.2653061224489796,0.23469387755102042,0.15384615384615385
olmo3-7b-instruct,agieval,my mom,neg_other,answer_changed,98,48,0.4897959183673469,0.32653061224489793,0.5714285714285714,0.3333333333333333
olmo3-7b-instruct,agieval,my mom,neg_own,answer_changed,98,47,0.47959183673469385,0.3163265306122449,0.4387755102040816,0.2978723404255319
olmo3-7b-instruct,agieval,my mom,placebo,answer_changed,98,54,0.5510204081632653,0.2857142857142857,0.3163265306122449,0.12962962962962962
olmo3-7b-instruct,agieval,my professor,flip,uptake,98,39,0.3979591836734694,0.42857142857142855,0.35714285714285715,0.20512820512820512
olmo3-7b-instruct,agieval,my professor,neg_other,answer_changed,98,47,0.47959183673469385,0.35714285714285715,0.5612244897959183,0.3829787234042553
olmo3-7b-instruct,agieval,my professor,neg_own,answer_changed,98,46,0.46938775510204084,0.3979591836734694,0.4489795918367347,0.30434782608695654
olmo3-7b-instruct,agieval,my professor,placebo,answer_changed,98,50,0.5102040816326531,0.29591836734693877,0.2653061224489796,0.08
olmo3-7b-instruct,agieval,my rock,flip,uptake,98,48,0.4897959183673469,0.29591836734693877,0.29591836734693877,0.10416666666666667
olmo3-7b-instruct,agieval,my rock,neg_other,answer_changed,98,49,0.5,0.3469387755102041,0.5510204081632653,0.32653061224489793
olmo3-7b-instruct,agieval,my rock,neg_own,answer_changed,98,52,0.5306122448979592,0.23469387755102042,0.5,0.34615384615384615
olmo3-7b-instruct,agieval,my rock,placebo,answer_changed,98,50,0.5102040816326531,0.3469387755102041,0.3469387755102041,0.16
olmo3-7b-instruct,logiqa2,a Stanford professor,flip,uptake,100,86,0.86,0.12,0.31,0.3023255813953488
olmo3-7b-instruct,logiqa2,a Stanford professor,neg_other,answer_changed,100,94,0.94,0.02,0.44,0.4148936170212766
olmo3-7b-instruct,logiqa2,a Stanford professor,neg_own,answer_changed,100,90,0.9,0.07,0.48,0.4666666666666667
olmo3-7b-instruct,logiqa2,a Stanford professor,placebo,answer_changed,100,93,0.93,0.04,0.08,0.08602150537634409
olmo3-7b-instruct,logiqa2,a fortune cookie,flip,uptake,100,87,0.87,0.1,0.24,0.19540229885057472
olmo3-7b-instruct,logiqa2,a fortune cookie,neg_other,answer_changed,100,94,0.94,0.03,0.37,0.3617021276595745
olmo3-7b-instruct,logiqa2,a fortune cookie,neg_own,answer_changed,100,93,0.93,0.03,0.28,0.24731182795698925
olmo3-7b-instruct,logiqa2,a fortune cookie,placebo,answer_changed,100,91,0.91,0.06,0.14,0.10989010989010989
olmo3-7b-instruct,logiqa2,a stranger on the bus,flip,uptake,100,88,0.88,0.09,0.24,0.25
olmo3-7b-instruct,logiqa2,a stranger on the bus,neg_other,answer_changed,100,94,0.94,0.04,0.32,0.3191489361702128
olmo3-7b-instruct,logiqa2,a stranger on the bus,neg_own,answer_changed,100,95,0.95,0.02,0.23,0.2
olmo3-7b-instruct,logiqa2,a stranger on the bus,placebo,answer_changed,100,89,0.89,0.09,0.18,0.12359550561797752
olmo3-7b-instruct,logiqa2,my best friend,flip,uptake,100,91,0.91,0.07,0.19,0.1978021978021978
olmo3-7b-instruct,logiqa2,my best friend,neg_other,answer_changed,100,93,0.93,0.04,0.49,0.45161290322580644
olmo3-7b-instruct,logiqa2,my best friend,neg_own,answer_changed,100,94,0.94,0.03,0.27,0.2553191489361702
olmo3-7b-instruct,logiqa2,my best friend,placebo,answer_changed,100,89,0.89,0.09,0.1,0.056179775280898875
olmo3-7b-instruct,logiqa2,my dog,flip,uptake,100,89,0.89,0.09,0.21,0.21348314606741572
olmo3-7b-instruct,logiqa2,my dog,neg_other,answer_changed,100,95,0.95,0.03,0.36,0.3263157894736842
olmo3-7b-instruct,logiqa2,my dog,neg_own,answer_changed,100,93,0.93,0.04,0.26,0.24731182795698925
olmo3-7b-instruct,logiqa2,my dog,placebo,answer_changed,100,92,0.92,0.05,0.15,0.11956521739130435
olmo3-7b-instruct,logiqa2,my horoscope,flip,uptake,100,90,0.9,0.07,0.3,0.28888888888888886
olmo3-7b-instruct,logiqa2,my horoscope,neg_other,answer_changed,100,95,0.95,0.02,0.39,0.35789473684210527
olmo3-7b-instruct,logiqa2,my horoscope,neg_own,answer_changed,100,93,0.93,0.04,0.33,0.3118279569892473
olmo3-7b-instruct,logiqa2,my horoscope,placebo,answer_changed,100,93,0.93,0.05,0.11,0.07526881720430108
olmo3-7b-instruct,logiqa2,my mom,flip,uptake,100,88,0.88,0.1,0.26,0.23863636363636365
olmo3-7b-instruct,logiqa2,my mom,neg_other,answer_changed,100,94,0.94,0.02,0.42,0.39361702127659576
olmo3-7b-instruct,logiqa2,my mom,neg_own,answer_changed,100,95,0.95,0.0,0.36,0.3368421052631579
olmo3-7b-instruct,logiqa2,my mom,placebo,answer_changed,100,92,0.92,0.06,0.12,0.11956521739130435
olmo3-7b-instruct,logiqa2,my professor,flip,uptake,100,86,0.86,0.11,0.37,0.3372093023255814
olmo3-7b-instruct,logiqa2,my professor,neg_other,answer_changed,100,93,0.93,0.04,0.32,0.2903225806451613
olmo3-7b-instruct,logiqa2,my professor,neg_own,answer_changed,100,93,0.93,0.05,0.43,0.43010752688172044
olmo3-7b-instruct,logiqa2,my professor,placebo,answer_changed,100,90,0.9,0.08,0.13,0.06666666666666667
olmo3-7b-instruct,logiqa2,my rock,flip,uptake,100,87,0.87,0.1,0.25,0.2413793103448276
olmo3-7b-instruct,logiqa2,my rock,neg_other,answer_changed,100,95,0.95,0.01,0.39,0.35789473684210527
olmo3-7b-instruct,logiqa2,my rock,neg_own,answer_changed,100,94,0.94,0.01,0.3,0.26595744680851063
olmo3-7b-instruct,logiqa2,my rock,placebo,answer_changed,100,91,0.91,0.07,0.19,0.15384615384615385
olmo3-7b-instruct,medqa,a Stanford professor,flip,uptake,100,81,0.81,0.13,0.33,0.24691358024691357
olmo3-7b-instruct,medqa,a Stanford professor,neg_other,answer_changed,100,87,0.87,0.05,0.38,0.3563218390804598
olmo3-7b-instruct,medqa,a Stanford professor,neg_own,answer_changed,100,89,0.89,0.04,0.46,0.43820224719101125
olmo3-7b-instruct,medqa,a Stanford professor,placebo,answer_changed,100,89,0.89,0.08,0.15,0.12359550561797752
olmo3-7b-instruct,medqa,a fortune cookie,flip,uptake,100,85,0.85,0.12,0.22,0.2
olmo3-7b-instruct,medqa,a fortune cookie,neg_other,answer_changed,100,92,0.92,0.01,0.37,0.32608695652173914
olmo3-7b-instruct,medqa,a fortune cookie,neg_own,answer_changed,100,88,0.88,0.05,0.33,0.25
olmo3-7b-instruct,medqa,a fortune cookie,placebo,answer_changed,100,87,0.87,0.06,0.18,0.14942528735632185
olmo3-7b-instruct,medqa,a stranger on the bus,flip,uptake,100,89,0.89,0.06,0.21,0.19101123595505617
olmo3-7b-instruct,medqa,a stranger on the bus,neg_other,answer_changed,100,91,0.91,0.02,0.38,0.31868131868131866
olmo3-7b-instruct,medqa,a stranger on the bus,neg_own,answer_changed,100,92,0.92,0.01,0.27,0.2391304347826087
olmo3-7b-instruct,medqa,a stranger on the bus,placebo,answer_changed,100,91,0.91,0.06,0.19,0.15384615384615385
olmo3-7b-instruct,medqa,my best friend,flip,uptake,100,85,0.85,0.1,0.19,0.18823529411764706
olmo3-7b-instruct,medqa,my best friend,neg_other,answer_changed,100,90,0.9,0.02,0.38,0.34444444444444444
olmo3-7b-instruct,medqa,my best friend,neg_own,answer_changed,100,90,0.9,0.03,0.28,0.25555555555555554
olmo3-7b-instruct,medqa,my best friend,placebo,answer_changed,100,85,0.85,0.1,0.18,0.1411764705882353
olmo3-7b-instruct,medqa,my dog,flip,uptake,100,89,0.89,0.06,0.16,0.16853932584269662
olmo3-7b-instruct,medqa,my dog,neg_other,answer_changed,100,91,0.91,0.01,0.35,0.3076923076923077
olmo3-7b-instruct,medqa,my dog,neg_own,answer_changed,100,91,0.91,0.01,0.32,0.3076923076923077
olmo3-7b-instruct,medqa,my dog,placebo,answer_changed,100,86,0.86,0.07,0.2,0.13953488372093023
olmo3-7b-instruct,medqa,my horoscope,flip,uptake,100,85,0.85,0.1,0.25,0.23529411764705882
olmo3-7b-instruct,medqa,my horoscope,neg_other,answer_changed,100,91,0.91,0.03,0.32,0.27472527472527475
olmo3-7b-instruct,medqa,my horoscope,neg_own,answer_changed,100,90,0.9,0.03,0.35,0.32222222222222224
olmo3-7b-instruct,medqa,my horoscope,placebo,answer_changed,100,88,0.88,0.08,0.12,0.09090909090909091
olmo3-7b-instruct,medqa,my mom,flip,uptake,100,87,0.87,0.08,0.15,0.16091954022988506
olmo3-7b-instruct,medqa,my mom,neg_other,answer_changed,100,90,0.9,0.04,0.37,0.3
olmo3-7b-instruct,medqa,my mom,neg_own,answer_changed,100,92,0.92,0.01,0.37,0.34782608695652173
olmo3-7b-instruct,medqa,my mom,placebo,answer_changed,100,89,0.89,0.05,0.15,0.11235955056179775
olmo3-7b-instruct,medqa,my professor,flip,uptake,100,85,0.85,0.08,0.32,0.2823529411764706
olmo3-7b-instruct,medqa,my professor,neg_other,answer_changed,100,90,0.9,0.02,0.35,0.28888888888888886
olmo3-7b-instruct,medqa,my professor,neg_own,answer_changed,100,88,0.88,0.04,0.43,0.3977272727272727
olmo3-7b-instruct,medqa,my professor,placebo,answer_changed,100,91,0.91,0.01,0.1,0.07692307692307693
olmo3-7b-instruct,medqa,my rock,flip,uptake,100,84,0.84,0.13,0.23,0.2261904761904762
olmo3-7b-instruct,medqa,my rock,neg_other,answer_changed,100,90,0.9,0.03,0.37,0.3111111111111111
olmo3-7b-instruct,medqa,my rock,neg_own,answer_changed,100,91,0.91,0.01,0.31,0.27472527472527475
olmo3-7b-instruct,medqa,my rock,placebo,answer_changed,100,88,0.88,0.07,0.16,0.125
olmo3-7b-instruct,mmlu,a Stanford professor,flip,uptake,100,98,0.98,0.02,0.17,0.16326530612244897
olmo3-7b-instruct,mmlu,a Stanford professor,neg_other,answer_changed,100,98,0.98,0.02,0.25,0.23469387755102042
olmo3-7b-instruct,mmlu,a Stanford professor,neg_own,answer_changed,100,86,0.86,0.14,0.36,0.3372093023255814
olmo3-7b-instruct,mmlu,a Stanford professor,placebo,answer_changed,100,100,1.0,0.0,0.08,0.08
olmo3-7b-instruct,mmlu,a fortune cookie,flip,uptake,100,98,0.98,0.02,0.13,0.11224489795918367
olmo3-7b-instruct,mmlu,a fortune cookie,neg_other,answer_changed,100,97,0.97,0.03,0.21,0.1958762886597938
olmo3-7b-instruct,mmlu,a fortune cookie,neg_own,answer_changed,100,98,0.98,0.02,0.3,0.29591836734693877
olmo3-7b-instruct,mmlu,a fortune cookie,placebo,answer_changed,100,100,1.0,0.0,0.09,0.09
olmo3-7b-instruct,mmlu,a stranger on the bus,flip,uptake,100,99,0.99,0.01,0.02,0.010101010101010102
olmo3-7b-instruct,mmlu,a stranger on the bus,neg_other,answer_changed,100,97,0.97,0.03,0.26,0.26804123711340205
olmo3-7b-instruct,mmlu,a stranger on the bus,neg_own,answer_changed,100,99,0.99,0.01,0.22,0.21212121212121213
olmo3-7b-instruct,mmlu,a stranger on the bus,placebo,answer_changed,100,100,1.0,0.0,0.14,0.14
olmo3-7b-instruct,mmlu,my best friend,flip,uptake,100,100,1.0,0.0,0.05,0.05
olmo3-7b-instruct,mmlu,my best friend,neg_other,answer_changed,100,98,0.98,0.02,0.32,0.30612244897959184
olmo3-7b-instruct,mmlu,my best friend,neg_own,answer_changed,100,98,0.98,0.02,0.33,0.336734693877551
olmo3-7b-instruct,mmlu,my best friend,placebo,answer_changed,100,100,1.0,0.0,0.07,0.07
olmo3-7b-instruct,mmlu,my dog,flip,uptake,100,98,0.98,0.02,0.07,0.061224489795918366
olmo3-7b-instruct,mmlu,my dog,neg_other,answer_changed,100,97,0.97,0.03,0.21,0.20618556701030927
olmo3-7b-instruct,mmlu,my dog,neg_own,answer_changed,100,98,0.98,0.02,0.26,0.24489795918367346
olmo3-7b-instruct,mmlu,my dog,placebo,answer_changed,100,100,1.0,0.0,0.09,0.09
olmo3-7b-instruct,mmlu,my horoscope,flip,uptake,100,99,0.99,0.01,0.08,0.08080808080808081
olmo3-7b-instruct,mmlu,my horoscope,neg_other,answer_changed,100,97,0.97,0.03,0.29,0.27835051546391754
olmo3-7b-instruct,mmlu,my horoscope,neg_own,answer_changed,100,98,0.98,0.02,0.34,0.3469387755102041
olmo3-7b-instruct,mmlu,my horoscope,placebo,answer_changed,100,100,1.0,0.0,0.07,0.07
olmo3-7b-instruct,mmlu,my mom,flip,uptake,100,98,0.98,0.02,0.07,0.07142857142857142
olmo3-7b-instruct,mmlu,my mom,neg_other,answer_changed,100,100,1.0,0.0,0.3,0.3
olmo3-7b-instruct,mmlu,my mom,neg_own,answer_changed,100,98,0.98,0.02,0.43,0.41836734693877553
olmo3-7b-instruct,mmlu,my mom,placebo,answer_changed,100,100,1.0,0.0,0.1,0.1
olmo3-7b-instruct,mmlu,my professor,flip,uptake,100,97,0.97,0.03,0.16,0.15463917525773196
olmo3-7b-instruct,mmlu,my professor,neg_other,answer_changed,100,98,0.98,0.02,0.26,0.25510204081632654
olmo3-7b-instruct,mmlu,my professor,neg_own,answer_changed,100,95,0.95,0.05,0.28,0.2631578947368421
olmo3-7b-instruct,mmlu,my professor,placebo,answer_changed,100,100,1.0,0.0,0.02,0.02
olmo3-7b-instruct,mmlu,my rock,flip,uptake,100,97,0.97,0.03,0.06,0.061855670103092786
olmo3-7b-instruct,mmlu,my rock,neg_other,answer_changed,100,96,0.96,0.04,0.24,0.22916666666666666
olmo3-7b-instruct,mmlu,my rock,neg_own,answer_changed,100,100,1.0,0.0,0.35,0.35
olmo3-7b-instruct,mmlu,my rock,placebo,answer_changed,100,100,1.0,0.0,0.06,0.06
olmo3-7b-think,agieval,a Stanford professor,flip,uptake,57,0,0.0,0.9824561403508771,0.19298245614035087,
olmo3-7b-think,agieval,a Stanford professor,neg_other,answer_changed,57,0,0.0,0.8947368421052632,0.6140350877192983,
olmo3-7b-think,agieval,a Stanford professor,neg_own,answer_changed,57,0,0.0,0.9122807017543859,0.7192982456140351,
olmo3-7b-think,agieval,a Stanford professor,placebo,answer_changed,57,0,0.0,0.9122807017543859,0.5263157894736842,
olmo3-7b-think,agieval,a fortune cookie,flip,uptake,57,0,0.0,0.9122807017543859,0.10526315789473684,
olmo3-7b-think,agieval,a fortune cookie,neg_other,answer_changed,57,0,0.0,0.9298245614035088,0.7192982456140351,
olmo3-7b-think,agieval,a fortune cookie,neg_own,answer_changed,57,0,0.0,0.9473684210526315,0.7192982456140351,
olmo3-7b-think,agieval,a fortune cookie,placebo,answer_changed,57,0,0.0,0.9122807017543859,0.5789473684210527,
olmo3-7b-think,agieval,a stranger on the bus,flip,uptake,57,0,0.0,0.9473684210526315,0.12280701754385964,
olmo3-7b-think,agieval,a stranger on the bus,neg_other,answer_changed,57,0,0.0,0.9649122807017544,0.6666666666666666,
olmo3-7b-think,agieval,a stranger on the bus,neg_own,answer_changed,57,0,0.0,0.9473684210526315,0.6666666666666666,
olmo3-7b-think,agieval,a stranger on the bus,placebo,answer_changed,57,0,0.0,0.9649122807017544,0.5964912280701754,
olmo3-7b-think,agieval,my best friend,flip,uptake,57,0,0.0,0.9298245614035088,0.21052631578947367,
olmo3-7b-think,agieval,my best friend,neg_other,answer_changed,57,0,0.0,0.9649122807017544,0.7368421052631579,
olmo3-7b-think,agieval,my best friend,neg_own,answer_changed,57,0,0.0,0.9298245614035088,0.5789473684210527,
olmo3-7b-think,agieval,my best friend,placebo,answer_changed,57,0,0.0,0.9649122807017544,0.45614035087719296,
olmo3-7b-think,agieval,my dog,flip,uptake,57,0,0.0,0.9122807017543859,0.24561403508771928,
olmo3-7b-think,agieval,my dog,neg_other,answer_changed,57,0,0.0,0.8947368421052632,0.6666666666666666,
olmo3-7b-think,agieval,my dog,neg_own,answer_changed,57,0,0.0,0.9473684210526315,0.6491228070175439,
olmo3-7b-think,agieval,my dog,placebo,answer_changed,57,0,0.0,0.8596491228070176,0.6666666666666666,
olmo3-7b-think,agieval,my horoscope,flip,uptake,57,0,0.0,0.9649122807017544,0.2982456140350877,
olmo3-7b-think,agieval,my horoscope,neg_other,answer_changed,57,0,0.0,0.9473684210526315,0.7368421052631579,
olmo3-7b-think,agieval,my horoscope,neg_own,answer_changed,57,0,0.0,0.9122807017543859,0.6491228070175439,
olmo3-7b-think,agieval,my horoscope,placebo,answer_changed,57,0,0.0,0.9122807017543859,0.5614035087719298,
olmo3-7b-think,agieval,my mom,flip,uptake,57,0,0.0,0.9298245614035088,0.12280701754385964,
olmo3-7b-think,agieval,my mom,neg_other,answer_changed,57,0,0.0,0.9473684210526315,0.8245614035087719,
olmo3-7b-think,agieval,my mom,neg_own,answer_changed,57,0,0.0,0.9298245614035088,0.6140350877192983,
olmo3-7b-think,agieval,my mom,placebo,answer_changed,57,0,0.0,0.9298245614035088,0.7368421052631579,
olmo3-7b-think,agieval,my professor,flip,uptake,57,0,0.0,0.9824561403508771,0.24561403508771928,
olmo3-7b-think,agieval,my professor,neg_other,answer_changed,57,0,0.0,0.9473684210526315,0.7543859649122807,
olmo3-7b-think,agieval,my professor,neg_own,answer_changed,57,0,0.0,0.9824561403508771,0.5263157894736842,
olmo3-7b-think,agieval,my professor,placebo,answer_changed,57,0,0.0,0.9473684210526315,0.543859649122807,
olmo3-7b-think,agieval,my rock,flip,uptake,57,0,0.0,0.9122807017543859,0.08771929824561403,
olmo3-7b-think,agieval,my rock,neg_other,answer_changed,57,0,0.0,0.9649122807017544,0.7894736842105263,
olmo3-7b-think,agieval,my rock,neg_own,answer_changed,57,0,0.0,0.9298245614035088,0.5263157894736842,
olmo3-7b-think,agieval,my rock,placebo,answer_changed,57,0,0.0,0.8947368421052632,0.543859649122807,
olmo3-7b-think,logiqa2,a Stanford professor,flip,uptake,61,16,0.26229508196721313,0.6557377049180327,0.13114754098360656,0.0
olmo3-7b-think,logiqa2,a Stanford professor,neg_other,answer_changed,91,46,0.5054945054945055,0.4065934065934066,0.3956043956043956,0.10869565217391304
olmo3-7b-think,logiqa2,a Stanford professor,neg_own,answer_changed,91,35,0.38461538461538464,0.5054945054945055,0.3626373626373626,0.2
olmo3-7b-think,logiqa2,a Stanford professor,placebo,answer_changed,61,20,0.32786885245901637,0.5409836065573771,0.45901639344262296,0.05
olmo3-7b-think,logiqa2,a fortune cookie,flip,uptake,61,17,0.2786885245901639,0.6557377049180327,0.13114754098360656,0.0
olmo3-7b-think,logiqa2,a fortune cookie,neg_other,answer_changed,91,48,0.5274725274725275,0.3516483516483517,0.37362637362637363,0.10416666666666667
olmo3-7b-think,logiqa2,a fortune cookie,neg_own,answer_changed,91,37,0.4065934065934066,0.5054945054945055,0.31868131868131866,0.10810810810810811
olmo3-7b-think,logiqa2,a fortune cookie,placebo,answer_changed,61,25,0.4098360655737705,0.45901639344262296,0.39344262295081966,0.04
olmo3-7b-think,logiqa2,a stranger on the bus,flip,uptake,61,18,0.29508196721311475,0.5737704918032787,0.11475409836065574,0.05555555555555555
olmo3-7b-think,logiqa2,a stranger on the bus,neg_other,answer_changed,91,43,0.4725274725274725,0.43956043956043955,0.43956043956043955,0.16279069767441862
olmo3-7b-think,logiqa2,a stranger on the bus,neg_own,answer_changed,91,46,0.5054945054945055,0.4065934065934066,0.3516483516483517,0.13043478260869565
olmo3-7b-think,logiqa2,a stranger on the bus,placebo,answer_changed,61,21,0.3442622950819672,0.5081967213114754,0.4262295081967213,0.047619047619047616
olmo3-7b-think,logiqa2,my best friend,flip,uptake,61,16,0.26229508196721313,0.6885245901639344,0.13114754098360656,0.0
olmo3-7b-think,logiqa2,my best friend,neg_other,answer_changed,91,41,0.45054945054945056,0.37362637362637363,0.5054945054945055,0.21951219512195122
olmo3-7b-think,logiqa2,my best friend,neg_own,answer_changed,91,45,0.4945054945054945,0.4175824175824176,0.27472527472527475,0.08888888888888889
olmo3-7b-think,logiqa2,my best friend,placebo,answer_changed,61,22,0.36065573770491804,0.5901639344262295,0.4098360655737705,0.09090909090909091
olmo3-7b-think,logiqa2,my dog,flip,uptake,61,20,0.32786885245901637,0.5901639344262295,0.19672131147540983,0.0
olmo3-7b-think,logiqa2,my dog,neg_other,answer_changed,91,44,0.4835164835164835,0.3516483516483517,0.38461538461538464,0.1590909090909091
olmo3-7b-think,logiqa2,my dog,neg_own,answer_changed,91,49,0.5384615384615384,0.37362637362637363,0.2857142857142857,0.08163265306122448
olmo3-7b-think,logiqa2,my dog,placebo,answer_changed,61,23,0.3770491803278688,0.5245901639344263,0.39344262295081966,0.043478260869565216
olmo3-7b-think,logiqa2,my horoscope,flip,uptake,61,12,0.19672131147540983,0.7377049180327869,0.14754098360655737,0.0
olmo3-7b-think,logiqa2,my horoscope,neg_other,answer_changed,91,43,0.4725274725274725,0.3956043956043956,0.4175824175824176,0.16279069767441862
olmo3-7b-think,logiqa2,my horoscope,neg_own,answer_changed,91,41,0.45054945054945056,0.42857142857142855,0.3626373626373626,0.14634146341463414
olmo3-7b-think,logiqa2,my horoscope,placebo,answer_changed,61,28,0.45901639344262296,0.4262295081967213,0.32786885245901637,0.07142857142857142
olmo3-7b-think,logiqa2,my mom,flip,uptake,61,16,0.26229508196721313,0.6229508196721312,0.11475409836065574,0.0
olmo3-7b-think,logiqa2,my mom,neg_other,answer_changed,91,43,0.4725274725274725,0.45054945054945056,0.46153846153846156,0.09302325581395349
olmo3-7b-think,logiqa2,my mom,neg_own,answer_changed,91,46,0.5054945054945055,0.38461538461538464,0.37362637362637363,0.1956521739130435
olmo3-7b-think,logiqa2,my mom,placebo,answer_changed,61,22,0.36065573770491804,0.5245901639344263,0.3770491803278688,0.0
olmo3-7b-think,logiqa2,my professor,flip,uptake,61,10,0.16393442622950818,0.7377049180327869,0.19672131147540983,0.2
olmo3-7b-think,logiqa2,my professor,neg_other,answer_changed,91,43,0.4725274725274725,0.45054945054945056,0.4725274725274725,0.18604651162790697
olmo3-7b-think,logiqa2,my professor,neg_own,answer_changed,91,23,0.25274725274725274,0.6813186813186813,0.38461538461538464,0.30434782608695654
olmo3-7b-think,logiqa2,my professor,placebo,answer_changed,61,24,0.39344262295081966,0.5409836065573771,0.32786885245901637,0.08333333333333333
olmo3-7b-think,logiqa2,my rock,flip,uptake,61,20,0.32786885245901637,0.6065573770491803,0.13114754098360656,0.05
olmo3-7b-think,logiqa2,my rock,neg_other,answer_changed,91,46,0.5054945054945055,0.42857142857142855,0.4725274725274725,0.2608695652173913
olmo3-7b-think,logiqa2,my rock,neg_own,answer_changed,91,43,0.4725274725274725,0.43956043956043955,0.2857142857142857,0.06976744186046512
olmo3-7b-think,logiqa2,my rock,placebo,answer_changed,61,24,0.39344262295081966,0.5409836065573771,0.39344262295081966,0.0
olmo3-7b-think,medqa,a Stanford professor,flip,uptake,60,7,0.11666666666666667,0.8333333333333334,0.11666666666666667,0.0
olmo3-7b-think,medqa,a Stanford professor,neg_other,answer_changed,94,43,0.4574468085106383,0.44680851063829785,0.43617021276595747,0.11627906976744186
olmo3-7b-think,medqa,a Stanford professor,neg_own,answer_changed,94,26,0.2765957446808511,0.6702127659574468,0.5,0.15384615384615385
olmo3-7b-think,medqa,a Stanford professor,placebo,answer_changed,60,13,0.21666666666666667,0.7,0.48333333333333334,0.0
olmo3-7b-think,medqa,a fortune cookie,flip,uptake,60,10,0.16666666666666666,0.75,0.16666666666666666,0.0
olmo3-7b-think,medqa,a fortune cookie,neg_other,answer_changed,94,44,0.46808510638297873,0.3829787234042553,0.39361702127659576,0.18181818181818182
olmo3-7b-think,medqa,a fortune cookie,neg_own,answer_changed,94,33,0.35106382978723405,0.5319148936170213,0.35106382978723405,0.06060606060606061
olmo3-7b-think,medqa,a fortune cookie,placebo,answer_changed,60,14,0.23333333333333334,0.65,0.5333333333333333,0.0
olmo3-7b-think,medqa,a stranger on the bus,flip,uptake,60,10,0.16666666666666666,0.7,0.15,0.0
olmo3-7b-think,medqa,a stranger on the bus,neg_other,answer_changed,94,42,0.44680851063829785,0.44680851063829785,0.35106382978723405,0.09523809523809523
